ag,date,end,lastUpdated,minutes,run,service,start,status
FL_CENTRAL_T,2019-06-07,2019-06-07 05:32:04,2019-06-07 05:32:04,1.0,1,LoadData,2019-06-07 05:30:11,DONE
FL_INDIAN_RIVER_T,2019-06-07,2019-06-07 05:32:11,2019-06-07 05:32:11,2.0,1,LoadData,2019-06-07 05:30:11,DONE
IL_NORTH_T,2019-06-07,2019-06-07 05:32:20,2019-06-07 05:32:20,2.0,1,LoadData,2019-06-07 05:30:11,DONE
IL_CHCG_METRO_NTH_T,2019-06-07,2019-06-07 05:32:30,2019-06-07 05:32:30,2.0,1,LoadData,2019-06-07 05:30:12,DONE
IL_OUTSTATE_T,2019-06-07,2019-06-07 05:32:31,2019-06-07 05:32:31,2.0,1,LoadData,2019-06-07 05:30:12,DONE
FL_PALM_T,2019-06-07,2019-06-07 05:32:29,2019-06-07 05:32:29,2.0,1,LoadData,2019-06-07 05:30:12,DONE
FL_EAST_DADE_T,2019-06-07,2019-06-07 05:32:20,2019-06-07 05:32:20,2.0,1,LoadData,2019-06-07 05:30:12,DONE
IL_SOUTHERN_RURAL_T,2019-06-07,2019-06-07 05:32:11,2019-06-07 05:32:11,1.0,1,LoadData,2019-06-07 05:30:13,DONE
FL_COASTAL_T,2019-06-07,2019-06-07 05:32:20,2019-06-07 05:32:20,2.0,1,LoadData,2019-06-07 05:30:13,DONE
MI_LIVONIA_T,2019-06-07,2019-06-07 05:33:42,2019-06-07 05:33:42,3.0,1,LoadData,2019-06-07 05:30:14,DONE
MI_TRI_CITIES_T,2019-06-07,2019-06-07 05:33:24,2019-06-07 05:33:24,3.0,1,LoadData,2019-06-07 05:30:14,DONE
KY_EAST_E,2019-06-07,2019-06-07 05:33:35,2019-06-07 05:33:35,3.0,1,LoadData,2019-06-07 05:30:14,DONE
FL_NORTH_BROWARD_T,2019-06-07,2019-06-07 05:32:23,2019-06-07 05:32:23,2.0,1,LoadData,2019-06-07 05:30:14,DONE
NC_CHARLOTTE_E,2019-06-07,2019-06-07 05:38:13,2019-06-07 05:38:13,7.0,1,LoadData,2019-06-07 05:30:15,DONE
CA_NCNV_NORTH_E,2019-06-07,2019-06-07 05:33:37,2019-06-07 05:33:37,3.0,1,LoadData,2019-06-07 05:30:15,DONE
CA_CNT_FRESNO_E,2019-06-07,2019-06-07 05:34:44,2019-06-07 05:34:44,4.0,1,LoadData,2019-06-07 05:30:15,DONE
AL_BIRMINGHAM_T,2019-06-07,2019-06-07 05:35:18,2019-06-07 05:35:18,5.0,1,LoadData,2019-06-07 05:30:15,DONE
CA_INLAND_EMPIRE_T,2019-06-07,2019-06-07 05:32:54,2019-06-07 05:32:54,2.0,1,LoadData,2019-06-07 05:30:15,DONE
AL_FL_COAST_T,2019-06-07,2019-06-07 05:34:52,2019-06-07 05:34:52,4.0,1,LoadData,2019-06-07 05:30:15,DONE
CA_W_SAN_FRNDO_VLY_T,2019-06-07,2019-06-07 05:33:31,2019-06-07 05:33:31,3.0,1,LoadData,2019-06-07 05:30:15,DONE
CA_NCNV_NV_NEVADA_E,2019-06-07,2019-06-07 05:33:41,2019-06-07 05:33:41,3.0,1,LoadData,2019-06-07 05:30:15,DONE
CA_CENTRAL_COAST_T,2019-06-07,2019-06-07 05:33:01,2019-06-07 05:33:01,2.0,1,LoadData,2019-06-07 05:30:16,DONE
KY_WEST_T,2019-06-07,2019-06-07 05:35:29,2019-06-07 05:35:29,5.0,1,LoadData,2019-06-07 05:30:16,DONE
CA_CNT_MONTEREY_E,2019-06-07,2019-06-07 05:34:03,2019-06-07 05:34:03,3.0,1,LoadData,2019-06-07 05:30:16,DONE
CA_NORTH_COUNTIES_T,2019-06-07,2019-06-07 05:33:31,2019-06-07 05:33:31,3.0,1,LoadData,2019-06-07 05:30:16,DONE
GA_SOUTH_T,2019-06-07,2019-06-07 05:34:44,2019-06-07 05:34:44,4.0,1,LoadData,2019-06-07 05:30:16,DONE
IN_OUTSTATE_NORTH_E,2019-06-07,2019-06-07 05:39:07,2019-06-07 05:39:07,8.0,1,LoadData,2019-06-07 05:30:16,DONE
LA_BATON_ROUGE_T,2019-06-07,2019-06-07 05:37:51,2019-06-07 05:37:51,7.0,1,LoadData,2019-06-07 05:30:16,DONE
CA_NORTH_VALLEY_T,2019-06-07,2019-06-07 05:33:46,2019-06-07 05:33:46,3.0,1,LoadData,2019-06-07 05:30:16,DONE
MS_SOUTH_T,2019-06-07,2019-06-07 05:37:14,2019-06-07 05:37:14,6.0,1,LoadData,2019-06-07 05:30:16,DONE
CA_SEQUOIA_T,2019-06-07,2019-06-07 05:34:33,2019-06-07 05:34:33,4.0,1,LoadData,2019-06-07 05:30:16,DONE
CA_SBAY_DELTA_E,2019-06-07,2019-06-07 05:34:00,2019-06-07 05:34:00,3.0,1,LoadData,2019-06-07 05:30:17,DONE
CA_REDWOOD_T,2019-06-07,2019-06-07 05:33:17,2019-06-07 05:33:17,3.0,1,LoadData,2019-06-07 05:30:17,DONE
LA_SOUTH_T,2019-06-07,2019-06-07 05:35:40,2019-06-07 05:35:40,5.0,1,LoadData,2019-06-07 05:30:17,DONE
GA_NORTHEAST_T,2019-06-07,2019-06-07 05:36:15,2019-06-07 05:36:15,5.0,1,LoadData,2019-06-07 05:30:17,DONE
CA_NAPA_T,2019-06-07,2019-06-07 05:32:50,2019-06-07 05:32:50,2.0,1,LoadData,2019-06-07 05:30:17,DONE
LA_WEST_N_ORLEANS_T,2019-06-07,2019-06-07 05:34:11,2019-06-07 05:34:11,3.0,1,LoadData,2019-06-07 05:30:17,DONE
GA_SOUTHWEST_T,2019-06-07,2019-06-07 05:34:30,2019-06-07 05:34:30,4.0,1,LoadData,2019-06-07 05:30:17,DONE
GA_NORTHWEST_T,2019-06-07,2019-06-07 05:37:19,2019-06-07 05:37:19,7.0,1,LoadData,2019-06-07 05:30:17,DONE
FL_SOUTH_BROWARD_T,2019-06-07,2019-06-07 05:34:31,2019-06-07 05:34:31,4.0,1,LoadData,2019-06-07 05:30:17,DONE
IN_IPLS_CENTRAL_E,2019-06-07,2019-06-07 05:35:13,2019-06-07 05:35:13,4.0,1,LoadData,2019-06-07 05:30:17,DONE
KY_LOUISVILLE_T,2019-06-07,2019-06-07 05:34:50,2019-06-07 05:34:50,4.0,1,LoadData,2019-06-07 05:30:17,DONE
GA_EAST_T,2019-06-07,2019-06-07 05:37:46,2019-06-07 05:37:46,7.0,1,LoadData,2019-06-07 05:30:17,DONE
KY_EAST_T,2019-06-07,2019-06-07 05:35:16,2019-06-07 05:35:16,4.0,1,LoadData,2019-06-07 05:30:18,DONE
LA_NORTH_SHORE_T,2019-06-07,2019-06-07 05:33:15,2019-06-07 05:33:15,2.0,1,LoadData,2019-06-07 05:30:18,DONE
NC_SC_EAST_COASTAL_T,2019-06-07,2019-06-07 05:35:12,2019-06-07 05:35:12,4.0,1,LoadData,2019-06-07 05:30:18,DONE
MO_STLS_NORTH_E,2019-06-07,2019-06-07 05:31:28,2019-06-07 05:31:28,1.0,1,LoadData,2019-06-07 05:30:18,ERROR
MI_MIDTOWN_E,2019-06-07,2019-06-07 05:38:45,2019-06-07 05:38:45,8.0,1,LoadData,2019-06-07 05:30:18,DONE
TN_CHAT_E,2019-06-07,2019-06-07 05:33:30,2019-06-07 05:33:30,3.0,1,LoadData,2019-06-07 05:30:19,DONE
MI_S_METRO_E,2019-06-07,2019-06-07 05:35:07,2019-06-07 05:35:07,4.0,1,LoadData,2019-06-07 05:30:18,DONE
MI_DETROIT_WEST_E,2019-06-07,2019-06-07 05:36:11,2019-06-07 05:36:11,5.0,1,LoadData,2019-06-07 05:30:19,DONE
NC_WEST_T,2019-06-07,2019-06-07 05:36:27,2019-06-07 05:36:27,6.0,1,LoadData,2019-06-07 05:30:19,DONE
WI_NORTHWEST_E,2019-06-07,2019-06-07 05:35:47,2019-06-07 05:35:47,5.0,1,LoadData,2019-06-07 05:30:19,DONE
NC_RALEIGH_CENTRAL_E,2019-06-07,2019-06-07 05:35:59,2019-06-07 05:35:59,5.0,1,LoadData,2019-06-07 05:30:19,DONE
TN_KNOXVILLE_T,2019-06-07,2019-06-07 05:36:47,2019-06-07 05:36:47,6.0,1,LoadData,2019-06-07 05:30:19,DONE
WI_MILWAUKEE_NTH_E,2019-06-07,2019-06-07 05:34:39,2019-06-07 05:34:39,4.0,1,LoadData,2019-06-07 05:30:20,DONE
TN_WST_MIDDLE_TN_T,2019-06-07,2019-06-07 05:36:53,2019-06-07 05:36:53,6.0,1,LoadData,2019-06-07 05:30:20,DONE
OH_CENTRAL_E,2019-06-07,2019-06-07 05:39:18,2019-06-07 05:39:18,8.0,1,LoadData,2019-06-07 05:30:20,DONE
MI_UNIVERSTY_E,2019-06-07,2019-06-07 05:34:56,2019-06-07 05:34:56,4.0,1,LoadData,2019-06-07 05:30:20,DONE
OH_NORTHWEST_E,2019-06-07,2019-06-07 05:36:53,2019-06-07 05:36:53,6.0,1,LoadData,2019-06-07 05:30:20,DONE
TN_CO_CHATTANOOGA_T,2019-06-07,2019-06-07 05:33:12,2019-06-07 05:33:12,2.0,1,LoadData,2019-06-07 05:30:20,DONE
TN_KNOXVILLE_E,2019-06-07,2019-06-07 05:39:01,2019-06-07 05:39:01,8.0,1,LoadData,2019-06-07 05:30:20,DONE
TN_N_MEMPH_JACKSON_E,2019-06-07,2019-06-07 05:37:31,2019-06-07 05:37:31,7.0,1,LoadData,2019-06-07 05:30:21,DONE
TN_MEMPHIS_SOUTH_E,2019-06-07,2019-06-07 05:37:37,2019-06-07 05:37:37,7.0,1,LoadData,2019-06-07 05:30:21,DONE
FL_S_PALM_SOUTH_E,2019-06-07,2019-06-07 05:36:52,2019-06-07 05:36:52,6.0,1,LoadData,2019-06-07 05:30:22,DONE
TN_MEMPHIS_T,2019-06-07,2019-06-07 05:35:03,2019-06-07 05:35:03,4.0,1,LoadData,2019-06-07 05:30:21,DONE
OH_COLUMBUS_T,2019-06-07,2019-06-07 05:35:55,2019-06-07 05:35:55,5.0,1,LoadData,2019-06-07 05:30:22,DONE
FL_S_HOLLYWOOD_E,2019-06-07,2019-06-07 05:40:03,2019-06-07 05:40:03,9.0,1,LoadData,2019-06-07 05:30:22,DONE
IN_IPLS_NORTH_EAST_E,2019-06-07,2019-06-07 05:36:45,2019-06-07 05:36:45,6.0,1,LoadData,2019-06-07 05:30:23,DONE
OH_SOUTHWEST_E,2019-06-07,2019-06-07 05:34:03,2019-06-07 05:34:03,3.0,1,LoadData,2019-06-07 05:30:23,DONE
MI_GRAND_RAPIDS_T,2019-06-07,2019-06-07 05:34:32,2019-06-07 05:34:32,4.0,1,LoadData,2019-06-07 05:30:23,DONE
OH_AKRON_CANTON_T,2019-06-07,2019-06-07 05:35:55,2019-06-07 05:35:55,5.0,1,LoadData,2019-06-07 05:30:23,DONE
FL_S_DADE_NRTHEAST_E,2019-06-07,2019-06-07 05:37:06,2019-06-07 05:37:06,6.0,1,LoadData,2019-06-07 05:30:24,DONE
