accBeginTime,accEndTime,ag,date,estTechDur,geoGrp,jcat,jobType,latitude,longitude,pri,refWrid,seq,skills,turf,wc,wrid
2019-02-25 12:00:56,2019-02-25 23:00:50,GA_FL_NORTH_CENTRL_T,2019-02-25,82,TFS_FL_GAINESVILLE_T,ADSL,IRND,29.78711,-82.020565,,271325719,,"['ADSL', 'ADSL-I', 'ADSS-I']",FL_KEYSTONE_HEIGHT_T,352142,135663554
2019-02-25 12:00:56,2019-02-25 23:00:50,GA_FL_NORTH_CENTRL_T,2019-02-25,87,TFS_FL_GAINESVILLE_T,ADSL,IRNT,29.78711,-82.020565,,271325719,,"['ADSL', 'ADSL-I', 'ADSS-I']",FL_KEYSTONE_HEIGHT_T,352142,135662165
2019-02-25 14:00:00,2019-02-25 18:00:00,GA_FL_NORTH_CENTRL_T,2019-02-25,87,TFS_FL_PALATKA_T,POTS,ICEXXXX,29.64244,-81.66353000000001,,269875308,,"['POTS', 'POTS-B', 'POTS-IB']",FL_PALATKA_T,386147,134938024
2019-02-25 12:00:56,2019-02-25 23:00:50,GA_FL_NORTH_CENTRL_T,2019-02-25,87,TFS_FL_PALATKA_T,POTS,ICEXXXX,29.64244,-81.66353000000001,,269875308,,"['POTS', 'POTS-B', 'POTS-IB']",FL_PALATKA_T,386147,134937284
2019-02-23 06:01:00,2019-02-23 23:00:00,GA_FL_NORTH_CENTRL_T,2019-02-25,90,TFS_FL_ORANGE_PARK_T,CABLE,MREXXXXP,30.06823,-81.862914,,271841752,,"['CABLE', 'CABLE-MP', 'POTS-MR', 'POTS-R']",FL_MIDDLEBURG_T,904121,135900634
2019-02-23 06:01:00,2019-02-23 23:00:00,GA_FL_NORTH_CENTRL_T,2019-02-25,100,TFS_FL_ORANGE_PARK_T,POTS,MREXXXX,30.06823,-81.862914,,271841752,,"['POTS', 'POTS-MR', 'POTS-R']",FL_MIDDLEBURG_T,904121,135941118
2019-02-25 06:01:00,2019-02-25 22:00:00,GA_FL_NORTH_CENTRL_T,2019-02-25,85,TFS_GA_AMERICUS_T,POTS,MBEXXXX,31.451093,-83.505176,,271920970,,"['POTS', 'POTS-B', 'POTS-MB']",GA_TIFTON_T,229348,135960493
2019-02-25 06:01:00,2019-02-25 22:00:00,GA_FL_NORTH_CENTRL_T,2019-02-25,85,TFS_GA_AMERICUS_T,POTS,MBEXXXX,31.451093,-83.505176,,271920970,,"['POTS', 'POTS-B', 'POTS-MB']",GA_TIFTON_T,229348,135960477
2019-02-23 13:00:00,2019-02-24 01:00:00,GA_FL_NORTH_CENTRL_T,2019-02-25,60,TFS_GA_AMERICUS_T,ADSL,MRENXZXP,31.456023,-83.507221,,271817498,,"['ADSL', 'ADSL-M', 'ADSS-M']",GA_TIFTON_T,229348,135908840
2019-02-23 12:00:00,2019-02-24 00:00:00,GA_FL_NORTH_CENTRL_T,2019-02-25,60,TFS_GA_AMERICUS_T,ADSL,MRENXZXP,31.456023,-83.507221,,271817498,,"['ADSL', 'ADSL-M', 'ADSS-M']",GA_TIFTON_T,229348,135908658
2019-02-25 12:00:56,2019-02-25 23:00:50,GA_FL_NORTH_CENTRL_T,2019-02-25,85,TFS_GA_VALDOSTA_T,ADSL,IRND,30.793178,-83.423845,,271845447,,"['ADSL', 'ADSL-I', 'ADSS-I']",GA_VALDOSTA_T,229437,135924315
2019-02-24 06:01:00,2019-02-24 23:00:00,GA_FL_NORTH_CENTRL_T,2019-02-25,83,TFS_GA_VALDOSTA_T,ADSL,MREND,30.793178,-83.423845,,271845447,,"['ADSL', 'ADSL-M', 'ADSS-M']",GA_VALDOSTA_T,229437,135921132
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409285
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409314
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409326
2019-03-12T12:00:00.000Z,2019-03-12T20:00:00.000Z,FL_WEST_DADE_T,2019-03-12,113,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEX9XX,25.844274,-80.228313,,273057932,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_NORTHSIDE_T,305237,136529356
2019-03-12T12:00:00.000Z,2019-03-12T20:00:00.000Z,FL_WEST_DADE_T,2019-03-12,120,TFS_FL_S_WEST_NORTH_DADE_T,CAB-INTERM,MBFX9XX,25.844274,-80.228313,,273057932,,"['CAB-INTERM', 'CABLE', 'CABLE-B']",FL_MIAM_NORTHSIDE_T,305237,136528576
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,86,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBNX,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I']",FL_MIAM_HIALEAH_T,305251,136193838
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,80,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBEXAXS,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I', 'ADSS-IP']",FL_MIAM_HIALEAH_T,305251,136193842
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,86,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBNX,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I']",FL_MIAM_HIALEAH_T,305251,136193838
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,80,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBEXAXS,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I', 'ADSS-IP']",FL_MIAM_HIALEAH_T,305251,136193842
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409326
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409314
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409285
2019-03-12T12:00:00.000Z,2019-03-12T20:00:00.000Z,FL_WEST_DADE_T,2019-03-12,113,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEX9XX,25.844274,-80.228313,,273057932,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_NORTHSIDE_T,305237,136529356
2019-03-12T12:00:00.000Z,2019-03-12T20:00:00.000Z,FL_WEST_DADE_T,2019-03-12,120,TFS_FL_S_WEST_NORTH_DADE_T,CAB-INTERM,MBFX9XX,25.844274,-80.228313,,273057932,,"['CAB-INTERM', 'CABLE', 'CABLE-B']",FL_MIAM_NORTHSIDE_T,305237,136528576
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,86,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBNX,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I']",FL_MIAM_HIALEAH_T,305251,136193838
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,80,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBEXAXS,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I', 'ADSS-IP']",FL_MIAM_HIALEAH_T,305251,136193842
2019-03-12T12:00:00.000Z,2019-03-12T20:00:00.000Z,FL_WEST_DADE_T,2019-03-12,120,TFS_FL_S_WEST_NORTH_DADE_T,CAB-INTERM,MBFX9XX,25.844274,-80.228313,,273057932,,"['CAB-INTERM', 'CABLE', 'CABLE-B']",FL_MIAM_NORTHSIDE_T,305237,136528576
2019-03-12T12:00:00.000Z,2019-03-12T20:00:00.000Z,FL_WEST_DADE_T,2019-03-12,113,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEX9XX,25.844274,-80.228313,,273057932,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_NORTHSIDE_T,305237,136529356
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409314
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409285
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409326
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,86,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBNX,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I']",FL_MIAM_HIALEAH_T,305251,136193838
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,80,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBEXAXS,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I', 'ADSS-IP']",FL_MIAM_HIALEAH_T,305251,136193842
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409314
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409326
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409285
2019-03-12T12:00:00.000Z,2019-03-12T20:00:00.000Z,FL_WEST_DADE_T,2019-03-12,113,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEX9XX,25.844274,-80.228313,,273057932,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_NORTHSIDE_T,305237,136529356
2019-03-12T12:00:00.000Z,2019-03-12T20:00:00.000Z,FL_WEST_DADE_T,2019-03-12,120,TFS_FL_S_WEST_NORTH_DADE_T,CAB-INTERM,MBFX9XX,25.844274,-80.228313,,273057932,,"['CAB-INTERM', 'CABLE', 'CABLE-B']",FL_MIAM_NORTHSIDE_T,305237,136528576
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,86,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBNX,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I']",FL_MIAM_HIALEAH_T,305251,136193838
2019-03-12T11:00:56.000Z,2019-03-12T22:00:50.000Z,FL_WEST_DADE_T,2019-03-12,80,TFS_FL_S_WEST_NORTH_DADE_T,ADSL,IBEXAXS,25.89488,-80.328789,,272387680,,"['ADSL', 'ADSL-I', 'ADSS-I', 'ADSS-IP']",FL_MIAM_HIALEAH_T,305251,136193842
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409285
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409326
2019-03-12T13:00:00.000Z,2019-03-12T21:00:00.000Z,FL_WEST_DADE_T,2019-03-12,99,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEZXXX,25.889916,-80.375102,,409227925,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_POINCIANA_T,305238,136409314
2019-03-12T12:00:00.000Z,2019-03-12T20:00:00.000Z,FL_WEST_DADE_T,2019-03-12,113,TFS_FL_S_WEST_NORTH_DADE_T,POTS,MBEX9XX,25.844274,-80.228313,,273057932,,"['POTS', 'POTS-B', 'POTS-MB']",FL_MIAM_NORTHSIDE_T,305237,136529356
