ag,date,end,lastUpdated,minutes,run,service,start,status
TX_N_HOU_KEMPWOOD_E,2019-06-17,2019-06-17 16:37:03,2019-06-17 16:37:03,1.0,1,LoadData,2019-06-17 16:35:09,DONE
TX_N_HOU_MUESHKE_E,2019-06-17,2019-06-17 16:37:19,2019-06-17 16:37:19,2.0,1,LoadData,2019-06-17 16:35:10,DONE
TX_N_HOU_PRSDO_EST_E,2019-06-17,2019-06-17 16:38:35,2019-06-17 16:38:35,3.0,1,LoadData,2019-06-17 16:35:10,DONE
TX_N_HOU_SPRING_E,2019-06-17,2019-06-17 16:39:12,2019-06-17 16:39:12,4.0,1,LoadData,2019-06-17 16:35:10,DONE
TX_N_HOU_PARKWEST_E,2019-06-17,2019-06-17 16:38:45,2019-06-17 16:38:45,3.0,1,LoadData,2019-06-17 16:35:10,DONE
TX_NORTH_DALLAS_T,2019-06-17,2019-06-17 16:38:03,2019-06-17 16:38:03,2.0,1,LoadData,2019-06-17 16:35:10,DONE
TX_NORTHEAST_HSTN_T,2019-06-17,2019-06-17 16:39:04,2019-06-17 16:39:04,3.0,1,LoadData,2019-06-17 16:35:11,DONE
TX_NORTHWEST_HSTN_T,2019-06-17,2019-06-17 16:38:06,2019-06-17 16:38:06,2.0,1,LoadData,2019-06-17 16:35:11,DONE
TX_N_HOU_PRSDO_WST_E,2019-06-17,2019-06-17 16:38:48,2019-06-17 16:38:48,3.0,1,LoadData,2019-06-17 16:35:11,DONE
TX_SOUTHEAST_HSTN_T,2019-06-17,2019-06-17 16:38:54,2019-06-17 16:38:54,3.0,1,LoadData,2019-06-17 16:35:11,DONE
TX_SOUTHWEST_HSTN_T,2019-06-17,2019-06-17 16:39:43,2019-06-17 16:39:43,4.0,1,LoadData,2019-06-17 16:35:11,DONE
TX_NO_SNAN_SO_AUST_T,2019-06-17,2019-06-17 16:37:14,2019-06-17 16:37:14,2.0,1,LoadData,2019-06-17 16:35:11,DONE
TX_OUTSTATE_EAST_T,2019-06-17,2019-06-17 16:37:22,2019-06-17 16:37:22,2.0,1,LoadData,2019-06-17 16:35:11,DONE
TX_RIO_GRANDE_VLY_T,2019-06-17,2019-06-17 16:37:59,2019-06-17 16:37:59,2.0,1,LoadData,2019-06-17 16:35:12,DONE
TX_OUTSTAT_NTHWST_T,2019-06-17,2019-06-17 16:37:41,2019-06-17 16:37:41,2.0,1,LoadData,2019-06-17 16:35:12,DONE
TX_SNAN_METRO_T,2019-06-17,2019-06-17 16:39:59,2019-06-17 16:39:59,4.0,1,LoadData,2019-06-17 16:35:13,DONE
TX_SNAN_NORTH_E,2019-06-17,2019-06-17 16:38:56,2019-06-17 16:38:56,3.0,1,LoadData,2019-06-17 16:35:13,DONE
TX_SNAN_AUST_SOUTH_E,2019-06-17,2019-06-17 16:36:32,2019-06-17 16:36:32,1.0,1,LoadData,2019-06-17 16:35:13,DONE
TX_SNAN_SOUTHWEST_E,2019-06-17,2019-06-17 16:38:42,2019-06-17 16:38:42,3.0,1,LoadData,2019-06-17 16:35:13,DONE
TX_SOUTHEAST_DLLS_T,2019-06-17,2019-06-17 16:38:31,2019-06-17 16:38:31,3.0,1,LoadData,2019-06-17 16:35:13,DONE
TX_SNAN_SOUTHEAST_E,2019-06-17,2019-06-17 16:39:44,2019-06-17 16:39:44,4.0,1,LoadData,2019-06-17 16:35:13,DONE
IL_CHI_CENTRAL_E,2019-06-17,2019-06-17 16:38:27,2019-06-17 16:38:27,2.0,1,LoadData,2019-06-17 16:35:33,DONE
AR_LTRK_METRO_E,2019-06-17,2019-06-17 16:39:57,2019-06-17 16:39:57,4.0,1,LoadData,2019-06-17 16:35:36,DONE
KS_WEST_T,2019-06-17,2019-06-17 16:40:31,2019-06-17 16:40:31,4.0,1,LoadData,2019-06-17 16:35:36,DONE
AR_OK_FTSM_FYVL_E,2019-06-17,2019-06-17 16:39:27,2019-06-17 16:39:27,3.0,1,LoadData,2019-06-17 16:35:36,DONE
IL_CHI_SOUTH_E,2019-06-17,2019-06-17 16:39:08,2019-06-17 16:39:08,3.0,1,LoadData,2019-06-17 16:35:37,DONE
IL_ILLINOIS_NORTH_E,2019-06-17,2019-06-17 16:39:34,2019-06-17 16:39:34,3.0,1,LoadData,2019-06-17 16:35:37,DONE
IL_CHI_SUBN_SOUTH_E,2019-06-17,2019-06-17 16:40:17,2019-06-17 16:40:17,4.0,1,LoadData,2019-06-17 16:35:37,DONE
IL_CHI_SUBN_NORTH_E,2019-06-17,2019-06-17 16:39:25,2019-06-17 16:39:25,3.0,1,LoadData,2019-06-17 16:35:37,DONE
IL_SOUTHERN_E,2019-06-17,2019-06-17 16:37:57,2019-06-17 16:37:57,2.0,1,LoadData,2019-06-17 16:35:38,DONE
KS_EAST_T,2019-06-17,2019-06-17 16:39:56,2019-06-17 16:39:56,4.0,1,LoadData,2019-06-17 16:35:38,DONE
IL_SUBURBAN_WEST_E,2019-06-17,2019-06-17 16:39:55,2019-06-17 16:39:55,4.0,1,LoadData,2019-06-17 16:35:38,DONE
MO_STLS_SOUTH_E,2019-06-17,2019-06-17 16:37:41,2019-06-17 16:37:41,2.0,1,LoadData,2019-06-17 16:35:39,DONE
KS_MO_KCY_NORTH_E,2019-06-17,2019-06-17 16:40:20,2019-06-17 16:40:20,4.0,1,LoadData,2019-06-17 16:35:39,DONE
KS_MO_KCY_SOUTH_E,2019-06-17,2019-06-17 16:40:01,2019-06-17 16:40:01,4.0,1,LoadData,2019-06-17 16:35:39,DONE
OK_OKCY_SOUTH_E,2019-06-17,2019-06-17 16:40:27,2019-06-17 16:40:27,4.0,1,LoadData,2019-06-17 16:35:39,DONE
MO_KSCY_SOUTHEAST_T,2019-06-17,2019-06-17 16:39:35,2019-06-17 16:39:35,3.0,1,LoadData,2019-06-17 16:35:39,DONE
KS_TOPEKA_E,2019-06-17,2019-06-17 16:38:32,2019-06-17 16:38:32,2.0,1,LoadData,2019-06-17 16:35:40,DONE
KS_WICHITA_E,2019-06-17,2019-06-17 16:37:44,2019-06-17 16:37:44,2.0,1,LoadData,2019-06-17 16:35:40,DONE
MO_ST_LOUIS_NORTH_T,2019-06-17,2019-06-17 16:39:33,2019-06-17 16:39:33,3.0,1,LoadData,2019-06-17 16:35:40,DONE
MO_S_EST_AR_N_EST_T,2019-06-17,2019-06-17 16:40:20,2019-06-17 16:40:20,4.0,1,LoadData,2019-06-17 16:35:41,DONE
MO_SPRINGFIELD_E,2019-06-17,2019-06-17 16:38:24,2019-06-17 16:38:24,2.0,1,LoadData,2019-06-17 16:35:41,DONE
MO_STLS_CENTRAL_E,2019-06-17,2019-06-17 16:41:57,2019-06-17 16:41:57,6.0,1,LoadData,2019-06-17 16:35:41,DONE
OK_AR_WEST_T,2019-06-17,2019-06-17 16:41:37,2019-06-17 16:41:37,5.0,1,LoadData,2019-06-17 16:35:42,DONE
OK_OKCY_NORTH_E,2019-06-17,2019-06-17 16:39:57,2019-06-17 16:39:57,4.0,1,LoadData,2019-06-17 16:35:42,DONE
TX_AUSTIN_WACO_T,2019-06-17,2019-06-17 16:42:39,2019-06-17 16:42:39,6.0,1,LoadData,2019-06-17 16:35:42,DONE
OK_EAST_T,2019-06-17,2019-06-17 16:40:49,2019-06-17 16:40:49,5.0,1,LoadData,2019-06-17 16:35:42,DONE
TX_ARLINGTON_SOUTH_T,2019-06-17,2019-06-17 16:40:50,2019-06-17 16:40:50,5.0,1,LoadData,2019-06-17 16:35:42,DONE
TX_AUST_NORTHEAST_E,2019-06-17,2019-06-17 16:39:51,2019-06-17 16:39:51,4.0,1,LoadData,2019-06-17 16:35:43,DONE
TX_AUST_NORTHWEST_E,2019-06-17,2019-06-17 16:41:07,2019-06-17 16:41:07,5.0,1,LoadData,2019-06-17 16:35:43,DONE
TX_AUST_SOUTH_E,2019-06-17,2019-06-17 16:38:52,2019-06-17 16:38:52,3.0,1,LoadData,2019-06-17 16:35:43,DONE
TX_DLLS_CENTRAL_E,2019-06-17,2019-06-17 16:41:42,2019-06-17 16:41:42,5.0,1,LoadData,2019-06-17 16:35:43,DONE
