ag,capacity,date,geoGrp,latitude,longitude,lunchDur,lunchEnd,lunchStart,scheduleEnd,scheduleStart,technicianId,timeZone
,,,TFS_AL_BHAM_IPDSLAM_INST_T,,,,,,,,,
,,,TFS_AL_BHAM_IPDSLAM_INST_T,,,,,,,,,
,,,TFS_AL_BHAM_IPDSLAM_INST_T,,,,,,,,,
AL_NORTH_T,450.0,2019-06-20,TFS_AL_D_ATHENS_ELK_T,34.818685,-86.983101,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,DB2190,CENTRAL
AL_NORTH_T,450.0,2019-06-20,TFS_AL_D_ATHENS_ELK_T,34.818685,-86.983101,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,TM2872,CENTRAL
AL_NORTH_T,450.0,2019-06-20,TFS_AL_D_ATHENS_ELK_T,34.818685,-86.983101,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,CE1875,CENTRAL
AL_NORTH_T,450.0,2019-06-20,TFS_AL_SHEFFIELD_T,34.461226,-87.292448,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,JA9724,CENTRAL
AL_NORTH_T,450.0,2019-06-20,TFS_AL_MOULTON_T,34.461226,-87.292448,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,JG3057,CENTRAL
AL_NORTH_T,450.0,2019-06-20,TFS_AL_HUNTSVILLE_T,34.722132,-86.658262,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,CF5118,CENTRAL
AL_NORTH_T,450.0,2019-06-20,TFS_AL_ALBERTVILLE_T,34.722132,-86.658262,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,TE0643,CENTRAL
AL_NORTH_T,450.0,2019-06-20,TFS_AL_HUNTSVILLE_T,34.722132,-86.658262,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,AO2213,CENTRAL
AL_NORTH_T,450.0,2019-06-20,TFS_AL_ALBERTVILLE_T,34.722132,-86.658262,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T22:00:00.000Z,2019-06-20T13:00:00.000Z,LC1000,CENTRAL
