ag,date,logs
GA_ATL_SNELLVILLE_E,2019-02-25,"[{'technicianId': 'PR234E', 'loadType': 'SOFT', 'wrid': 135880299, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'JW854A', 'loadType': 'SOFT', 'wrid': 135154085, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'TM008Y', 'loadType': 'SOFT', 'wrid': 135852467, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}]"
GA_ATL_LAWRENCEVLE_E,2019-02-25,"[{'technicianId': 'RL2558', 'loadType': 'SOFT', 'wrid': 135881107, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}]"
GA_ATL_MARIETTA_E,2019-02-25,"[{'technicianId': 'WM530K', 'loadType': 'SOFT', 'wrid': 135773655, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}]"
GA_ATL_DOUGLASVLE_E,2019-02-25,"[{'technicianId': 'JS303R', 'loadType': 'SOFT', 'wrid': 135776430, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'DS2903', 'loadType': 'SOFT', 'wrid': 135900518, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'CB823P', 'loadType': 'SOFT', 'wrid': 134609746, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'AA500R', 'loadType': 'SOFT', 'wrid': 135879232, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}]"
GA_ATL_ALPHARETTA_E,2019-02-25,[]
GA_ATL_WOODSTOCK_E,2019-02-25,"[{'technicianId': 'EB8068', 'loadType': 'SOFT', 'wrid': 135870134, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'DO873N', 'loadType': 'SOFT', 'wrid': 135930875, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'DF549X', 'loadType': 'SOFT', 'wrid': 135945193, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'JM181Y', 'loadType': 'SOFT', 'wrid': 135879850, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'JD738V', 'loadType': 'SOFT', 'wrid': 135475552, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'RC787E', 'loadType': 'SOFT', 'wrid': 135886249, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'JG167D', 'loadType': 'SOFT', 'wrid': 135962820, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}]"
FL_WEST_DADE_T,2019-03-06,[]
GA_ATL_CONYERS_E,2019-03-06,"[{'technicianId': 'AD1667', 'loadType': 'SOFT', 'wrid': 136254571, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'KM791C', 'loadType': 'SOFT', 'wrid': 136073987, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'PW9596', 'loadType': 'SOFT', 'wrid': 136144791, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'PN394R', 'loadType': 'SOFT', 'wrid': 136144610, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'ES882E', 'loadType': 'SOFT', 'wrid': 136112880, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}]"
GA_ATL_EAST_T,2019-03-21,"[{'technicianId': 'JH6567', 'loadType': 'SOFT', 'wrid': 136773092, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'JC4337', 'loadType': 'SOFT', 'wrid': 136482631, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'AA8108', 'loadType': 'SOFT', 'wrid': 136633182, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}]"
LA_MS_NORTH_E,2019-03-29,"[{'technicianId': 'WB940Y', 'loadType': 'SOFT', 'wrid': 137054347, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'CE410T', 'loadType': 'SOFT', 'wrid': 136879520, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'DT811Q', 'loadType': 'SOFT', 'wrid': 136872439, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'JM480R', 'loadType': 'SOFT', 'wrid': 137159048, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}, {'technicianId': 'HW188J', 'loadType': 'SOFT', 'wrid': 137101617, 'status': 'Error', 'message': 'The processing of the request failed. javax.xml.bind.UnmarshalException\n - with linked exception:\n[org.xml.sax.SAXParseException: cvc-complex-type.2.4.b: The content of element \'job:JobIdWithTS\' is not complete. One of \'{""http://www.telcordia.com/RM-WorkforceManagement/Job/v1"":Timestamp}\' is expected.]'}]"
